((100000,(6.25e-2,0.4375),Ac {_seed = 0, _numTasks = 1, _ageStart = Time 1.0, _sizeDmrl = Time 1.25}),(0.967820798567826,0.9715217892719871,0.9752227799761481),(0.990680514378978,0.9945715217865283,0.9984625291940786),(0.990680514378978,0.9945715217865283,0.9984625291940786),(1.0230419451859352,1.0237223340170218,1.0244027228481085),(1.0230419451859352,1.0237223340170218,1.0244027228481085))
((100000,(6.25e-2,0.4375),Ac {_seed = 0, _numTasks = 2, _ageStart = Time 1.0, _sizeDmrl = Time 2.5}),(0.9672905428269244,0.9707468683700328,0.9742031939131411),(0.9839664111247803,0.9875470970858415,0.9911277830469027),(0.9856211384391403,0.9892486223270119,0.9928761062148835),(1.016640551073693,1.0173062163662687,1.0179718816588443),(1.0184373405807288,1.01905616648637,1.0196749923920112))
((100000,(6.25e-2,0.4375),Ac {_seed = 0, _numTasks = 4, _ageStart = Time 1.0, _sizeDmrl = Time 5.0}),(0.9685764493433733,0.972266912798822,0.9759573762542708),(0.979243901890058,0.9832160478632067,0.9871881938363554),(0.9822346832812388,0.9861503128599667,0.9900659424386946),(1.0106259759619531,1.011249296635505,1.0118726173090566),(1.013782943022824,1.0142704084647634,1.0147578739067027))
((100000,(6.25e-2,0.4375),Ac {_seed = 0, _numTasks = 8, _ageStart = Time 1.0, _sizeDmrl = Time 10.0}),(0.9661877020475335,0.9702248056204181,0.9742619091933028),(0.9728123071766737,0.9767777580970213,0.9807432090173689),(0.9755072000338175,0.9796389867225707,0.9837707734113238),(1.006319446517832,1.0067622404410383,1.0072050343642447),(1.009303020228521,1.009700490838163,1.0100979614478052))
((100000,(6.25e-2,0.4375),Ac {_seed = 0, _numTasks = 16, _ageStart = Time 1.0, _sizeDmrl = Time 20.0}),(0.962316577172706,0.9659508080625084,0.9695850389523109),(0.9660416821702322,0.969758965426605,0.9734762486829778),(0.9678607180224601,0.9715398151364891,0.9752189122505182),(1.0035524280579549,1.0039393281281024,1.00432622819825),(1.0054741891316976,1.0057853306405626,1.0060964721494277))
((100000,(7.8125e-2,0.546875),Ac {_seed = 0, _numTasks = 1, _ageStart = Time 1.0, _sizeDmrl = Time 1.25}),(1.5889159755514763,1.5970457264887934,1.6051754774261104),(1.6442057487471582,1.6531821343074222,1.6621585198676863),(1.6442057487471582,1.6531821343074222,1.6621585198676863),(1.0340503466378856,1.0351295983204607,1.0362088500030358),(1.0340503466378856,1.0351295983204607,1.0362088500030358))
((100000,(7.8125e-2,0.546875),Ac {_seed = 0, _numTasks = 2, _ageStart = Time 1.0, _sizeDmrl = Time 2.5}),(1.5918084932394594,1.5992772827173132,1.606746072195167),(1.6317148680848663,1.6394316866415615,1.6471485051982566),(1.6357792205536918,1.6435474730201696,1.6513157254866473),(1.0241078152138825,1.0251123462032101,1.0261168771925377),(1.0267445334709242,1.0276836020947768,1.0286226707186295))
((100000,(7.8125e-2,0.546875),Ac {_seed = 0, _numTasks = 4, _ageStart = Time 1.0, _sizeDmrl = Time 5.0}),(1.589052981272411,1.5988515266699417,1.6086500720674723),(1.6149559546887866,1.6252111390579196,1.6354663234270526),(1.6221269801441687,1.6323444669391827,1.6425619537341967),(1.0154993456367043,1.0164758370577462,1.0174523284787882),(1.0201341443291323,1.0209401999669478,1.0217462556047634))
((100000,(7.8125e-2,0.546875),Ac {_seed = 0, _numTasks = 8, _ageStart = Time 1.0, _sizeDmrl = Time 10.0}),(1.589825289050646,1.5981033589807438,1.6063814289108418),(1.6062669413326094,1.61461252515233,1.6229581089720506),(1.611645647043676,1.6204134910215102,1.6291813349993445),(1.009652415878109,1.0103346661770678,1.0110169164760265),(1.013292074213112,1.0139441043955875,1.014596134578063))
((100000,(7.8125e-2,0.546875),Ac {_seed = 0, _numTasks = 16, _ageStart = Time 1.0, _sizeDmrl = Time 20.0}),(1.5897867919595097,1.598160472846001,1.6065341537324924),(1.5990564096968243,1.6077602677702139,1.6164641258436034),(1.6028012821354918,1.611330107670117,1.6198589332047422),(1.0054465483430532,1.0059945860575443,1.0065426237720354),(1.007872544367878,1.0082370942456582,1.0086016441234384))
((100000,(9.375e-2,0.65625),Ac {_seed = 0, _numTasks = 1, _ageStart = Time 1.0, _sizeDmrl = Time 1.25}),(2.7700476604619535,2.7906240405824154,2.8112004207028773),(2.913977405200853,2.935728152395736,2.9574788995906194),(2.913977405200853,2.935728152395736,2.9574788995906194),(1.0505219542879223,1.0520081239860115,1.0534942936841007),(1.0505219542879223,1.0520081239860115,1.0534942936841007))
((100000,(9.375e-2,0.65625),Ac {_seed = 0, _numTasks = 2, _ageStart = Time 1.0, _sizeDmrl = Time 2.5}),(2.7915431345434794,2.814536805756472,2.837530476969465),(2.894365428262167,2.918385074544403,2.9424047208266386),(2.9060429571736255,2.9305493090957326,2.95505566101784),(1.0353964447280632,1.0369049082475421,1.038413371767021),(1.039806686671407,1.0412066451997875,1.0426066037281678))
((100000,(9.375e-2,0.65625),Ac {_seed = 0, _numTasks = 4, _ageStart = Time 1.0, _sizeDmrl = Time 5.0}),(2.8205489055754267,2.846091330274153,2.871633754972879),(2.894336907855746,2.9211848721883595,2.948032836520973),(2.910947245612122,2.937387967446281,2.96382868928044),(1.0249597470092866,1.0263704633484827,1.0277811796876788),(1.0306577041107665,1.0320910648613715,1.0335244256119764))
